,Unnamed: 0,Unnamed: 0_x,name,id,Unnamed: 0_y,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,end_time,ms_played,artist_name
995,1004,1004,Heaven,0vrmHPfoBadXVr2n0m1aqZ,962,0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,audio_features,spotify:track:0vrmHPfoBadXVr2n0m1aqZ,https://api.spotify.com/v1/tracks/0vrmHPfoBadXVr2n0m1aqZ,https://api.spotify.com/v1/audio-analysis/0vrmHPfoBadXVr2n0m1aqZ,277262,4,2024-03-14 13:41,3670699,Avicii
996,1005,1005,good 4 u,4ZtFanR9U6ndgddUvNcjcG,963,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,audio_features,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4,2023-11-06 19:47,47590,Olivia Rodrigo
997,1006,1006,everything sucks,3z06k8YF9CqX0CGFrlekOK,964,0.76,0.371,6,-8.964,1,0.0531,0.00772,0.0,0.0785,0.653,138.023,audio_features,spotify:track:3z06k8YF9CqX0CGFrlekOK,https://api.spotify.com/v1/tracks/3z06k8YF9CqX0CGFrlekOK,https://api.spotify.com/v1/audio-analysis/3z06k8YF9CqX0CGFrlekOK,115402,4,2023-11-06 19:51,11546,vaultboy
998,1007,1007,Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,965,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,audio_features,spotify:track:2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/tracks/2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/audio-analysis/2Bs4jQEGMycglOfWPBqrVG,228133,4,2023-11-06 20:07,52940,One Direction
999,1008,1008,Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,966,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,audio_features,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/tracks/4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/audio-analysis/4nVBt6MZDDP6tRVdQTgxJg,245493,4,2023-11-06 20:08,55250,One Direction
1000,1009,1009,Best Song Ever,5T7ZFtCcOgkpjxcuaeZbw0,967,0.652,0.877,1,-2.986,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,audio_features,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/tracks/5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/audio-analysis/5T7ZFtCcOgkpjxcuaeZbw0,200107,4,2023-11-06 20:11,180920,One Direction
1001,1010,1010,I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,968,0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,audio_features,spotify:track:04ZTP5KsCypmtCmQg5tH9R,https://api.spotify.com/v1/tracks/04ZTP5KsCypmtCmQg5tH9R,https://api.spotify.com/v1/audio-analysis/04ZTP5KsCypmtCmQg5tH9R,195519,4,2024-02-27 15:52,2448648,Bebe Rexha
1002,1011,1011,SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,969,0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.119,0.376,100.001,audio_features,spotify:track:2x0RZdkZcD8QRI53XT4GI5,https://api.spotify.com/v1/tracks/2x0RZdkZcD8QRI53XT4GI5,https://api.spotify.com/v1/audio-analysis/2x0RZdkZcD8QRI53XT4GI5,157202,4,2024-03-16 16:15,3112890,Avicii
1003,1012,1012,Something Just Like This,5wmm1LgJ2I2Rj2VaCqf9ZX,970,0.526,0.273,2,-8.335,1,0.0329,0.691,0.539,0.12,0.557,103.049,audio_features,spotify:track:5wmm1LgJ2I2Rj2VaCqf9ZX,https://api.spotify.com/v1/tracks/5wmm1LgJ2I2Rj2VaCqf9ZX,https://api.spotify.com/v1/audio-analysis/5wmm1LgJ2I2Rj2VaCqf9ZX,244305,4,2024-03-11 03:48,2331935,The Chainsmokers
1004,1013,1013,Saanware Aijaiyo,2uDeh0ImYtWkYSPjrX77gb,971,0.498,0.73,9,-9.013,1,0.0342,0.294,0.00374,0.149,0.212,135.062,audio_features,spotify:track:2uDeh0ImYtWkYSPjrX77gb,https://api.spotify.com/v1/tracks/2uDeh0ImYtWkYSPjrX77gb,https://api.spotify.com/v1/audio-analysis/2uDeh0ImYtWkYSPjrX77gb,234713,4,2023-11-08 02:59,133507,Kavita Seth
