,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,3pDek256ZgaPcii9t9o4dv,0.711,0.729,8,-4.462,1,0.0822,0.0542,0,0.0822,0.363,138.099,audio_features,spotify:track:3pDek256ZgaPcii9t9o4dv,https://api.spotify.com/v1/tracks/3pDek256ZgaPcii9t9o4dv,https://api.spotify.com/v1/audio-analysis/3pDek256ZgaPcii9t9o4dv,189226,4
1,18e3XXYCv4Tx8uUl1mP3CN,0.732,0.944,0,-4.115,1,0.09,0.209,0,0.401,0.957,120.02,audio_features,spotify:track:18e3XXYCv4Tx8uUl1mP3CN,https://api.spotify.com/v1/tracks/18e3XXYCv4Tx8uUl1mP3CN,https://api.spotify.com/v1/audio-analysis/18e3XXYCv4Tx8uUl1mP3CN,288903,4
2,5cgKosPPj5Cs9a2JQufUc1,0.593,0.967,9,-5.767,1,0.0907,0.166,0.0000254,0.105,0.452,131.988,audio_features,spotify:track:5cgKosPPj5Cs9a2JQufUc1,https://api.spotify.com/v1/tracks/5cgKosPPj5Cs9a2JQufUc1,https://api.spotify.com/v1/audio-analysis/5cgKosPPj5Cs9a2JQufUc1,228982,4
3,4eu27jAU2bbnyHUC3G75U8,0.806,0.932,2,-2.228,0,0.0684,0.24,0,0.216,0.792,106.021,audio_features,spotify:track:4eu27jAU2bbnyHUC3G75U8,https://api.spotify.com/v1/tracks/4eu27jAU2bbnyHUC3G75U8,https://api.spotify.com/v1/audio-analysis/4eu27jAU2bbnyHUC3G75U8,252760,4
4,3jJ5HgLRNydtLRghjWVaCG,0.611,0.612,2,-7.978,1,0.114,0.441,0,0.18,0.898,171.841,audio_features,spotify:track:3jJ5HgLRNydtLRghjWVaCG,https://api.spotify.com/v1/tracks/3jJ5HgLRNydtLRghjWVaCG,https://api.spotify.com/v1/audio-analysis/3jJ5HgLRNydtLRghjWVaCG,270439,4
5,0GQngE2rOYvlKwEQjTAsP8,0.302,0.493,9,-5.038,1,0.0451,0.455,0,0.134,0.457,88.904,audio_features,spotify:track:0GQngE2rOYvlKwEQjTAsP8,https://api.spotify.com/v1/tracks/0GQngE2rOYvlKwEQjTAsP8,https://api.spotify.com/v1/audio-analysis/0GQngE2rOYvlKwEQjTAsP8,249707,4
6,3W1XPf7mvuQcWQB7U7MbTM,0.687,0.941,6,-5.23,0,0.0583,0.0811,0.00000293,0.0697,0.909,138.048,audio_features,spotify:track:3W1XPf7mvuQcWQB7U7MbTM,https://api.spotify.com/v1/tracks/3W1XPf7mvuQcWQB7U7MbTM,https://api.spotify.com/v1/audio-analysis/3W1XPf7mvuQcWQB7U7MbTM,260552,4
7,5YY8EsBdUYAg1NJQIvgCEj,0.706,0.919,8,-5.21,1,0.174,0.223,0,0.319,0.701,101.94,audio_features,spotify:track:5YY8EsBdUYAg1NJQIvgCEj,https://api.spotify.com/v1/tracks/5YY8EsBdUYAg1NJQIvgCEj,https://api.spotify.com/v1/audio-analysis/5YY8EsBdUYAg1NJQIvgCEj,304307,4
8,0aK5fBopIfyEf8dcaFq7yl,0.599,0.972,5,-4.67,0,0.103,0.00023,0.255,0.166,0.125,127.994,audio_features,spotify:track:0aK5fBopIfyEf8dcaFq7yl,https://api.spotify.com/v1/tracks/0aK5fBopIfyEf8dcaFq7yl,https://api.spotify.com/v1/audio-analysis/0aK5fBopIfyEf8dcaFq7yl,208125,4
9,5wdkKS3kWXBU9bklLVsAFs,0.568,0.921,9,-4.558,1,0.0771,0.277,0.00000359,0.151,0.647,131.903,audio_features,spotify:track:5wdkKS3kWXBU9bklLVsAFs,https://api.spotify.com/v1/tracks/5wdkKS3kWXBU9bklLVsAFs,https://api.spotify.com/v1/audio-analysis/5wdkKS3kWXBU9bklLVsAFs,214796,4
10,5ZsAhuQ24mWHiduaxJqnhW,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,audio_features,spotify:track:5ZsAhuQ24mWHiduaxJqnhW,https://api.spotify.com/v1/tracks/5ZsAhuQ24mWHiduaxJqnhW,https://api.spotify.com/v1/audio-analysis/5ZsAhuQ24mWHiduaxJqnhW,180414,4
11,43GfQ1SC17rBWiHkOtdwK8,0.667,0.621,5,-5.697,1,0.0271,0.47,0.0000415,0.13,0.451,106.032,audio_features,spotify:track:43GfQ1SC17rBWiHkOtdwK8,https://api.spotify.com/v1/tracks/43GfQ1SC17rBWiHkOtdwK8,https://api.spotify.com/v1/audio-analysis/43GfQ1SC17rBWiHkOtdwK8,192229,4
12,1418IuVKQPTYqt7QNJ9RXN,0.698,0.505,6,-8.242,0,0.0356,0.354,0,0.0995,0.396,95.868,audio_features,spotify:track:1418IuVKQPTYqt7QNJ9RXN,https://api.spotify.com/v1/tracks/1418IuVKQPTYqt7QNJ9RXN,https://api.spotify.com/v1/audio-analysis/1418IuVKQPTYqt7QNJ9RXN,194654,4
13,0snQrp1VaY5Pj1YIHRJpRJ,0.729,0.396,0,-8.98,1,0.0359,0.796,0,0.104,0.886,97.281,audio_features,spotify:track:0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/tracks/0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/audio-analysis/0snQrp1VaY5Pj1YIHRJpRJ,103265,4
14,5HJvDTnAaDWqhsE841I1QR,0.337,0.963,7,-2.93,1,0.296,0.284,0,0.281,0.405,62.481,audio_features,spotify:track:5HJvDTnAaDWqhsE841I1QR,https://api.spotify.com/v1/tracks/5HJvDTnAaDWqhsE841I1QR,https://api.spotify.com/v1/audio-analysis/5HJvDTnAaDWqhsE841I1QR,251640,4
15,6k3XXCE1ZzwevQlxf8dNaw,0.688,0.701,3,-7.505,1,0.0298,0.06,0.0301,0.271,0.385,110.019,audio_features,spotify:track:6k3XXCE1ZzwevQlxf8dNaw,https://api.spotify.com/v1/tracks/6k3XXCE1ZzwevQlxf8dNaw,https://api.spotify.com/v1/audio-analysis/6k3XXCE1ZzwevQlxf8dNaw,232505,4
16,3TAhWtQnpoL5Vl9VQPl9fU,0.701,0.681,9,-6.442,1,0.0466,0.134,0,0.064,0.81,122.539,audio_features,spotify:track:3TAhWtQnpoL5Vl9VQPl9fU,https://api.spotify.com/v1/tracks/3TAhWtQnpoL5Vl9VQPl9fU,https://api.spotify.com/v1/audio-analysis/3TAhWtQnpoL5Vl9VQPl9fU,229576,4
17,75NhhYjHO43mvZgYtnXgti,0.655,0.666,5,-5.309,1,0.0612,0.134,0.0000212,0.0683,0.272,102.977,audio_features,spotify:track:75NhhYjHO43mvZgYtnXgti,https://api.spotify.com/v1/tracks/75NhhYjHO43mvZgYtnXgti,https://api.spotify.com/v1/audio-analysis/75NhhYjHO43mvZgYtnXgti,181812,4
